latitude,longitude
52.0755724,5.0949303
52.0696213,5.0965767
52.0707321,5.1258134
52.0684368,5.1237836
52.0645941,5.1347233
52.0644538,5.1375838
52.1209143,5.1099859
52.1162594,5.104531
52.1174065,5.1085406
52.1181992,5.1185289
52.1150701,5.1227309
52.1138701,5.1308445
52.1016817,5.0395716
52.0940813,5.0471735
52.0883625,5.0530429
52.0923117,5.1276406
52.0883527,5.1356948
52.0873234,5.1426302
52.0866073,5.1329862
52.0853658,5.1368819
52.0822034,5.1400274
52.0788128,5.1446975
52.0968494,5.1231501
52.0852665,5.1181792
52.087265,5.1280526
52.0805563,5.1209273
52.1142471,5.0906231
52.1123146,5.079533
52.1102152,5.0832135
52.1029344,5.0952752
52.1038378,5.103235
52.0966926,5.1127424
52.0958882,5.089156
52.0914349,5.0971776
52.0862473,5.0859637
52.1011838,5.1209114
52.0954585,5.1313709
52.075542,5.0948312
52.077548,5.114301
52.0748281,5.1142995
52.0724202,5.1246199
52.0664839,5.1218016
52.1211929,5.1097823
52.1172881,5.1087586
52.1124414,5.1129946
52.1142559,5.131387
52.1016612,5.0397898
52.0939922,5.047068
52.088361,5.0524306
52.0893927,5.1143221
52.0828911,5.1235496
52.0969432,5.1234918
52.1143637,5.0904139
52.1102566,5.0831023
52.1094895,5.0908657
52.104358,5.0939657
52.0958041,5.1081628
52.0894402,5.1355148
52.0834233,5.1395185
52.0820765,5.1373415
52.0914349,5.097177
52.0862473,5.0859635
52.0860132,5.1796596
52.0894342,5.1812422
52.0815591,5.1382691
52.0954976,5.0452558
52.1161198,5.1039174
52.1092648,5.0975781
52.088359,5.1374174
52.0678491,5.0985502
52.0658186,5.1201587
52.0914349,5.0971766
52.0939829,5.0472873
52.1001927,5.1068462
52.1100668,5.0868102
52.1107619,5.1159382
52.121,5.107985
52.1151915,5.1104857
52.1151506,5.1065681
52.0880017,5.0560257
52.0711281,5.0950542
52.0901861,5.0954559
52.1043792,5.1165478
52.0856332,5.1355946
52.093283,5.1234805
52.0642809,5.1356549
52.0762658,5.1152628
52.0789144,5.1190019
52.1105822,5.1258377
52.1115147,5.0909119
52.0935144,5.0816771
52.0907552,5.1395017
52.0609132,5.1363035
52.0980028,5.1048147
52.0795414,5.096867
52.1086418,5.1210111
52.0897225,5.0880397
52.0848928,5.1375611
52.0939239,5.13362
52.1236068,5.0886868
52.0642375,5.1085369
52.094678,5.1345075
52.1106338,5.124492
52.1002916,5.1010164
52.1137893,5.112798
52.1149135,5.0467087
52.0728196,5.1401848
52.0702946,5.1226302
52.0962471,5.1156211
52.0982726,5.0576291
52.1049574,5.1137179
52.1119417,5.0801509
52.0951039,5.1364086
52.1151499,5.1065691
52.0855645,5.0882301
52.074361,5.1010322
52.087955,5.1246467
52.061841,5.1117479
52.1164309,5.1060398
52.0667601,5.1130901
52.1151505,5.1065683
52.0664874,5.1177898
52.0667605,5.113091
52.0894499,5.1082585
52.0857414,5.069895
52.0853475,5.0917103
52.095233,5.048068
52.0907875,5.096021
52.0852793,5.17349957774356
52.0869664,5.1473028
52.1026344,5.0976745
52.1052128,5.0925809
52.1040106,5.1263845
52.0753891,5.1005461
52.1291292,5.0827954
52.1099893,5.0465184
52.116043,5.1044121
52.089704,5.0882386
52.0694032,5.122796
52.1173148,5.1226868
52.115456,5.107134
52.1046093,5.1219302
52.0884613,5.1352929
52.1210423,5.1141323
52.074328,5.1142866
52.0630772,5.1059446
52.0762085,5.0993191
52.1160255,5.1044509
52.0683499,5.1034736
52.0638766,5.1015133
52.1197826,5.0936808
52.1137711,5.087253
52.0985773,5.1203396
52.1030899,5.1415587
52.0839586,5.0505082
52.0935144,5.0816771
52.065465,5.1416576
52.0577319,5.1506406
52.1065808,5.1066496
52.0657854,5.1252379
52.1175874,5.1241796
52.0992119,5.0353326
52.09311,5.0617985
52.0981331,5.1047573
52.0832368,5.1243511
52.0789074,5.1098578
52.0746595,5.1149425
52.0734037,5.1186707
52.0734035,5.1186703
52.1161599,5.1093715
52.114164,5.1353258
52.0981331,5.1047573
52.0636587,5.1402814
52.064715,5.1394551
52.0739587,5.0886008
52.0795721,5.1326273
52.1188652,5.1205484
52.1027481,5.1329657
52.0679373,5.10539
52.1040701,5.1042335
52.0698649,5.1068026
52.0911254,5.0886157
52.1199661,5.1088545
52.0955429,5.1324314
52.104703,5.0998005
52.0952238,5.1318809
52.1166848,5.1063947
52.0734149,5.0963276
52.0684368,5.1237836
52.0915814,5.1073348
