OBJECTID;NAME;ITEM_NUMBER;TYPE_STATION;CLASS_STATION;TYPE_DISTRIBUTIE;YEAR_OF_CONSTRUCTION;EIGENAAR;STATUS_KAST;POSITIONDETERMINATION;ROAD;HOUSE_NUMBER;ADDRESS;LEVERANCIER;DATE_MODIFIED;BEHEERDER_OMS;FABRIKAAT;NAAM;NADERE_ADRES_AAND;POSTCODE;TOEGANGS_AANDUIDING_TEKST;WOONPLAATS;X;Y;LONG;LAT
273;F107;F107;Station;Station 10/0,4 kV/OV;Zelfbouw;1968-07-01;Stedin;In bedrijf;;V ALKEMADELN;774;;ENECO;2012-01-25;Stedin;ENECO;MIN. VAN DEFENSIE;Terrein;2597BB;10;S GRAVENHAGE;81370.6645000018;457657.97450000106;4.312535292024407;52.10226043505522
763;F119;F119;Kast;Onbekend;Onbekend;;Stedin;In bedrijf;;WASSENAARSEWG;208;;Onbekend;2012-01-25;Stedin;Onbekend;;Achter;2596EC;;S GRAVENHAGE;82337.3104999997;456857.8215;4.326812370510331;52.09519742065587
765;F100;F100;Kast;Onbekend;Onbekend;;Stedin;In bedrijf;;V HOGENHOUCKLN;49;;Onbekend;2012-01-25;Stedin;Onbekend;;Achter;2596TA;;S GRAVENHAGE;81921.4265000001;457059.517999999;4.320701000700229;52.09695526433926
785;F108;F108;Kast;Onbekend;Onbekend;;Stedin;In bedrijf;;UTENBROEKESTR;37;;Onbekend;2012-01-25;Stedin;Onbekend;;Achter;2597PH;;S GRAVENHAGE;81386.07999999821;457371.54699999804;4.312822121260698;52.099688440598186
788;F103;F103;Kast;Onbekend;Onbekend;;Stedin;In bedrijf;;RIDDERLN;21;;Onbekend;2012-01-25;Stedin;Onbekend;;Achter;2596PE;;S GRAVENHAGE;81430.5445000008;457077.6675;4.313534393773109;52.09705333721837
551;H204;H204;Station;Station 10/0,4 kV/OV;Zelfbouw;1956-07-01;Stedin;In bedrijf;;HET OORD;28;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2544TN;10;S GRAVENHAGE;77422.40249999991;451149.8895;4.256397590395226;52.04323530157351
553;H217;H217;Station;Station 10/0,4 kV/OV;Onbekend;1957-07-01;Stedin;In bedrijf;;HET ZICHT;32;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2543AM;10;S GRAVENHAGE;77979.4545000009;451179.95800000103;4.264509156837909;52.043583196079794
738;Z289;Z289;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;SATURNUSSTR;91;;Onbekend;2012-01-26;;Onbekend;;Naast;2516AG;;S GRAVENHAGE;83553.58900000161;453588.717;4.345243705635241;52.06597686756376
838;Z517;Z517;Kast;Onbekend;Onbekend;;Gemeente Den Haag;In bedrijf;;J CATSLN;2;;Onbekend;2012-01-26;Gemeente Den Haag;Onbekend;;Achter;2517KB;;S GRAVENHAGE;80063.1805000007;456254.526999999;4.2937635176074505;52.089472584494075
32;R100;R100;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;ROGGEKAMP;45;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592VL;10;S GRAVENHAGE;83875.4774999991;456309.4285;4.349370193270525;52.09046890052976
33;R123;R123;Station;Station 10/0,4 kV/OV;Zelfbouw;1960-07-01;Stedin;In bedrijf;;HONGARENBURG;553;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591VV;10;S GRAVENHAGE;84853.1149999984;456367.1065;4.363621602717152;52.091111989466604
35;R110;R110;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;ROGGEKAMP;239;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592;10;S GRAVENHAGE;84013.8520000018;456385.363000002;4.351373199146755;52.091169072256925
39;R118;R118;Station;Station 10/0,4 kV/OV;Zelfbouw;1960-07-01;Stedin;In bedrijf;;IVOORHORST;12;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592TN;10;S GRAVENHAGE;84157.2355000004;456464.898499999;4.353448600845244;52.09190221267506
40;R124;R124;Station;Station 10/0,4 kV/OV;Zelfbouw;1966-07-01;Stedin;In bedrijf;;WALENBURG;1;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591BR;10;S GRAVENHAGE;84748.5905000009;456495.1305;4.362070239931537;52.09224926753242
46;R127;R127;Station;Station 10/0,4 kV/OV;Zelfbouw;1963-07-01;Stedin;In bedrijf;;ISABELLALAND;;;ENECO;2012-01-26;Stedin;ENECO;HENDRIKLAAN;Openbare weg;2591RX;20;S GRAVENHAGE;85319.8115000017;456691.217;4.370364360447158;52.094083670728935
47;R128;R128;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;CATHARINALAND;77;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591CG;10;S GRAVENHAGE;85071.0164999999;456730.679499999;4.366726165018316;52.0944069392533
49;R107;R107;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;ONYXHORST;18;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592HB;10;S GRAVENHAGE;84478.2380000018;456823.749000002;4.358057795834118;52.0951681335198
50;R129;R129;Station;Station 10/0,4 kV/OV;Zelfbouw;1964-07-01;Stedin;In bedrijf;;ISABELLALAND;1730;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591EN;20;S GRAVENHAGE;85213.4530000016;456832.988000002;4.368783490737988;52.095344348387826
51;R103;R103;Station;Station 10/0,4 kV/OV;Zelfbouw;1960-07-01;Stedin;In bedrijf;;PARELMOERHORST;6;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592SE;10;S GRAVENHAGE;84219.5;456845.998500001;4.354277919905279;52.0953350598484
52;R106;R106;Station;Station 10/0,4 kV/OV;Zelfbouw;1961-07-01;Stedin;In bedrijf;;DIAMANTHORST;345;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592GH;10;S GRAVENHAGE;84600.1799999997;456926.432999998;4.3598158533698586;52.09610646166757
53;R131;R131;Station;Station 10/0,4 kV/OV;Zelfbouw;1963-07-01;Stedin;In bedrijf;;ELVIRALAND;51;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591GG;10;S GRAVENHAGE;84957.6695000008;456932.47399999906;4.36503087799053;52.09620610588664
54;R104;R104;Station;Station 10/0,4 kV/OV;Zelfbouw;1960-07-01;Stedin;In bedrijf;;SMARAGDHORST;6;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592RR;10;S GRAVENHAGE;84398.27800000091;457000.431499999;4.356854503708128;52.09674575670854
55;R130;R130;Station;Station 10/0,4 kV/OV;Zelfbouw;1961-07-01;Stedin;In bedrijf;;ISABELLALAND;241;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591SE;10;S GRAVENHAGE;85042.9189999998;457022.4175;4.366256330994032;52.09702519671652
56;R134;R134;Station;Station 10/0,4 kV/OV;Zelfbouw;1960-07-01;Stedin;In bedrijf;;URSULALAND;26;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2591GZ;10;S GRAVENHAGE;84764.931499999;457094.112500001;4.362185255301518;52.097634302308954
71;R114;R114;Station;Station 10/0,4 kV/OV;Zelfbouw;1959-07-01;Stedin;In bedrijf;;TARWEKAMP;59;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2592XH;10;S GRAVENHAGE;84212.15349999821;456063.66400000104;4.354333144759882;52.0883034085773
558;H214;H214;Station;Station 10/0,4 kV/OV;Onbekend;1957-07-01;Stedin;In bedrijf;;WOLVENRADE;19;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2544VJ;10;S GRAVENHAGE;77801.23649999869;451301.305;4.261884424560461;52.044648912035385
562;H202;H202;Station;Station 10/0,4 kV/OV;Zelfbouw;1956-07-01;Stedin;In bedrijf;;MARTERRADE; ;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2544JL;10;S GRAVENHAGE;77576.83650000021;451490.827;4.258571041914286;52.04632078652074
564;H212;H212;Station;Station 10/0,4 kV/OV;Onbekend;1957-07-01;Stedin;In bedrijf;;BERENRADE;;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2544HV;10;S GRAVENHAGE;77733.84800000119;451508.052000001;4.26085555127196;52.04649749137427
640;H226;H226;Station;Station 10/0,4 kV/OV;Onbekend;1958-07-01;Stedin;In bedrijf;;LANDZYDE;41;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2543EA;10;S GRAVENHAGE;77139.77400000021;450596.129500002;4.252404762512091;52.03821922198539
641;H230;H230;Station;Station 10/0,4 kV/OV;Onbekend;1959-07-01;Stedin;In bedrijf;;SCHOOLZYDE;26;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2543XX;10;S GRAVENHAGE;77312.7215000019;450447.16000000003;4.254958816222797;52.036904742964154
642;H228;H228;Station;Station 10/0,4 kV/OV;Onbekend;1959-07-01;Stedin;In bedrijf;;GROENEZYDE;99;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2543CC;10;S GRAVENHAGE;77361.71700000021;450629.429000001;4.255631375052694;52.038549598346634
649;H243;H243;Station;Station 10/0,4 kV/OV;Onbekend;1960-07-01;Stedin;In bedrijf;;DE DREEF;154;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2542NL;10;S GRAVENHAGE;77711.5839999989;449895.166999999;4.260895668487071;52.03199989655355
651;H240;H240;Station;Station 10/0,4 kV/OV;Onbekend;1958-07-01;Stedin;In bedrijf;;DE GAARDE;386;;Onbekend;2012-01-26;Stedin;Onbekend;;Openbare weg;2542CS;10;S GRAVENHAGE;78122.78500000019;450327.486499999;4.266789729427668;52.03594218678232
652;H241;H241;Station;Station 10/0,4 kV/OV;Zelfbouw;1962-07-01;Stedin;In bedrijf;;BIERBROUWERSGAARD;32;;ENECO;2012-01-26;Stedin;ENECO;;Openbare weg;2542HN;10;S GRAVENHAGE;78122.8520000018;450128.27050000103;4.266835491386063;52.034151900276115
